								Icelandic Low	
					8	1977	1.0115	300.723	56.545
					9	1977	1.0098	331.999	64.7207
					10	1977	1.0069	326.7631	61.1624
					11	1977	1.0052	337.9989	63.1454
					12	1977	1.0083	329.2363	58.7993
					1	1978	1.0063	332.9403	62.8634
					2	1978	1.0053	331.5663	49.3556
					3	1978	1.0049	333.645	60.1952
					4	1978	1.0107	326.6911	48.191
					5	1978	1.012	315.0681	62.4031
					6	1978	1.0106	317.2423	63.9777
					7	1978	1.0112	303.9968	60.5963
					8	1978	1.0107	302.1388	62.8219
					9	1978	1.0087	334.3624	61.0957
					10	1978	1.0073	323.4731	65.5813
					11	1978	1.003	326.9438	64.3404
					12	1978	1.0054	328.6881	52.2499
					1	1979	1.0118	333.2014	57.256
					2	1979	1.005	326.8914	54.1515
					3	1979	1.0065	350.8116	62.2556
					4	1979	1.0125	353.8466	52.1439
					5	1979	1.0111	357.197	61.8538
					6	1979	1.0097	313.4692	65.5944
					7	1979	1.0103	316.5577	64.7676
					8	1979	1.0101	318.2874	62.9172
					9	1979	1.0079	325.0949	62.8942
					10	1979	1.0089	325.2206	57.1471
					11	1979	1.0066	339.8533	62.7652
					12	1979	1.004	330.198	61.6162
					1	1980	1.0083	315.0829	56.4757
					2	1980	1.0053	319.6855	58.0084
					3	1980	1.0111	332.2279	56.5479
					4	1980	1.0114	331.3569	65.7765
					5	1980	1.0116	315.0395	47.6327
					6	1980	1.0113	323.8159	59.4999
					7	1980	1.0113	302.0693	58.2544
					8	1980	1.0117	319.0076	56.8752
					9	1980	1.0084	324.1478	62.131
					10	1980	1.0091	330.4852	58.4493
					11	1980	1.0093	315.6314	54.975
					12	1980	1.0053	336.8708	63.2412
					1	1981	1.007	327.036	61.3597
					2	1981	1.0071	326.5041	64.9815
					3	1981	1.005	330.9843	51.9918
					4	1981	1.0113	313.2627	55.9016
					5	1981	1.0113	335.4631	56.8931
					6	1981	1.011	299.8977	56.3859
					7	1981	1.0093	316.4149	63.8657
					8	1981	1.01	314.6025	66.3795
					9	1981	1.0102	331.7058	58.1668
					10	1981	1.0077	358.8116	61.5098
					11	1981	1.0086	325.1444	60.7105
					12	1981	1.0073	343.7443	53.4649
					1	1982	1.0075	318.9953	56.0408
					2	1982	1.0023	325.8351	60.2465
					3	1982	1.0062	331.0966	63.2655
					4	1982	1.0095	325.2456	62.3273
					5	1982	1.0119	341.1001	58.7557
					6	1982	1.0117	318.0642	52.5238
					7	1982	1.0091	306.4396	63.8845
					8	1982	1.0094	328.8134	62.5727
					9	1982	1.008	333.5149	63.648
					10	1982	1.0074	330.243	60.0637
					11	1982	1.0033	333.3939	63.3109
					12	1982	1.0034	337.5572	63.4536
					1	1983	1.0022	343.2451	64.6
					2	1983	1.0104	328.6681	56.6607
					3	1983	1.0081	341.1955	61.6846
					4	1983	1.0108	352.9205	54.5495
					5	1983	1.0109	353.0873	53.6939
					6	1983	1.01	309.8703	63.6073
					7	1983	1.0092	311.0479	63.5807
					8	1983	1.0087	316.5456	66.1351
					9	1983	1.0094	335.9768	59.6234
					10	1983	1.0062	340.3478	64.2186
					11	1983	1.0096	331.9285	55.3054
					12	1983	1.0055	330.6852	61.4733
					1	1984	1.0021	337.9993	63.2069
					2	1984	1.0057	334.6078	63.8473
					3	1984	1.0128	322.6616	47.9929
					4	1984	1.0111	326.6018	57.8192
					5	1984	1.0117	336.7849	53.7676
					6	1984	1.0124	315.2829	59.5607
					7	1984	1.0103	307.8806	61.6528
					8	1984	1.0083	305.5461	65.3168
					9	1984	1.0091	328.8976	60.9582
					10	1984	1.0064	333.1943	61.4263
					11	1984	1.0063	333.489	57.5171
					12	1984	1.0038	320.5478	63.5822
					1	1985	1.0066	313.5786	51.8056
					2	1985	1.007	325.629	54.1692
					3	1985	1.0093	324.1993	57.9031
					4	1985	1.0102	336.6192	57.7263
					5	1985	1.0119	313.8725	51.8782
					6	1985	1.0119	312.7218	56.0222
					7	1985	1.0096	309.6727	61.7764
					8	1985	1.0099	340.0116	61.8934
					9	1985	1.0099	327.44	61.2496
					10	1985	1.0075	321.2309	62.3688
					11	1985	1.0107	329.711	57.2394
					12	1985	1.0063	323.8091	57.3243
					1	1986	1.0051	329.41	61.4027
					2	1986	1.0082	321.4505	50.7522
					3	1986	1.0019	328.3636	63.4384
					4	1986	1.012	350.5241	52.2146
					5	1986	1.0099	341.7626	61.4887
					6	1986	1.009	307.5181	61.9733
					7	1986	1.0111	324.7626	62.8257
					8	1986	1.0105	295.1194	62.9596
					9	1986	1.0113	339.0304	65.9135
					10	1986	1.0033	330.5332	63.6631
					11	1986	1.0043	335.3854	62.2703
					12	1986	1.0042	326.3204	62.1871
					1	1987	1.0073	309.7037	56.3373
					2	1987	1.0057	324.7122	53.4373
					3	1987	1.0104	331.8947	58.4597
					4	1987	1.0099	331.7776	64.711
					5	1987	1.0116	306.1154	62.1187
					6	1987	1.0114	311.2962	57.7044
					7	1987	1.011	309.1747	63.1271
					8	1987	1.0112	306.7873	60.0412
					9	1987	1.0089	329.2542	61.3542
					10	1987	1.0077	333.2335	60.9097
					11	1987	1.008	317.5112	62.7473
					12	1987	1.0057	325.3951	54.1302
					1	1988	1.0037	335.9635	60.0712
					2	1988	1.0074	328.4483	62.7652
					3	1988	1.0087	336.8178	57.5381
					4	1988	1.0108	317.4593	47.9203
					5	1988	1.0121	329.875	57.8938
					6	1988	1.01	314.7994	62.1011
					7	1988	1.0102	329.3823	62.0192
					8	1988	1.0081	320.2787	61.6536
					9	1988	1.0091	330.4371	62.0333
					10	1988	1.0098	320.9663	61.4865
					11	1988	1.0085	317.921	58.3638
					12	1988	1.0055	326.7895	62.723
					1	1989	1.0022	327.7397	63.4927
					2	1989	1.0015	335.2027	63.8012
					3	1989	1.0031	336.0705	62.2778
					4	1989	1.0111	343.2545	53.9077
					5	1989	1.0115	328.8844	66.5432
					6	1989	1.0118	322.0138	66.2914
					7	1989	1.0087	312.2553	66.3463
					8	1989	1.0079	326.181	62.5098
					9	1989	1.0066	320.1336	64.9882
					10	1989	1.0071	330.0567	62.9055
					11	1989	1.0081	312.542	59.7229
					12	1989	1.0035	327.2309	55.4108
					1	1990	1.0015	328.3281	61.3996
					2	1990	0.9971	335.4412	61.4437
					3	1990	1.0041	333.6949	65.1053
					4	1990	1.0088	335.3691	66.3706
					5	1990	1.013	310.7817	54.3651
					6	1990	1.0101	310.2624	59.8186
					7	1990	1.0099	310.7788	62.46
					8	1990	1.0096	316.9528	64.5681
					9	1990	1.009	323.8864	64.7812
					10	1990	1.0078	335.0249	60.5099
					11	1990	1.0087	318.953	57.6705
					12	1990	1.0037	328.3307	65.3576
					1	1991	1.0034	324.6064	62.1966
					2	1991	1.0053	309.5646	60.7651
					3	1991	1.0098	325.0026	53.5932
					4	1991	1.0108	345.114	63.5149
					5	1991	1.0116	311.7534	62.089
					6	1991	1.0108	334.5286	57.9631
					7	1991	1.0106	310.3007	59.9658
					8	1991	1.0072	321.1826	65.4998
					9	1991	1.0092	327.4789	63.363
					10	1991	1.0109	331.1519	63.6364
					11	1991	1.0062	340.1523	62.4649
					12	1991	1.0045	319.7341	63.9081
					1	1992	1.0047	316.9255	62.0641
					2	1992	1.004	327.9481	62.3521
					3	1992	1.0065	335.3615	61.9344
					4	1992	1.0096	339.9791	58.4065
					5	1992	1.0111	333.4004	66.3495
					6	1992	1.0121	320.7062	60.3467
					7	1992	1.0105	319.6776	61.0538
					8	1992	1.0087	336.1568	62.2715
					9	1992	1.0093	313.1398	61.3695
					10	1992	1.0109	332.905	58.5848
					11	1992	1.0031	334.9805	61.7894
					12	1992	1.0046	330.8366	63.8177
					1	1993	0.9991	331.7122	63.8171
					2	1993	1.0084	329.7015	66.2438
					3	1993	1.0058	335.2427	64.0681
					4	1993	1.0104	339.0375	57.8526
					5	1993	1.013	325.7777	47.4262
					6	1993	1.0118	316.9045	56.6315
					7	1993	1.0111	334.785	59.0735
					8	1993	1.0114	316.225	64.5315
					9	1993	1.0095	306.0275	59.7432
					10	1993	1.0104	299.0607	60.3459
					11	1993	1.0028	316.5975	63.3446
					12	1993	1.0047	344.0267	61.543
					1	1994	1.0039	339.0734	60.9937
					2	1994	1.0059	323.9138	56.5377
					3	1994	1.0047	337.5408	62.2981
					4	1994	1.0103	342.2988	60.6727
					5	1994	1.0126	322.3245	51.1767
					6	1994	1.0078	322.5349	64.3508
					7	1994	1.0088	313.7545	63.5297
					8	1994	1.0101	313.5118	62.9396
					9	1994	1.0113	332.8499	62.557
					10	1994	1.0098	329.733	59.0939
					11	1994	1.0056	322.4672	59.7975
					12	1994	1.0039	338.1611	62.7583
					1	1995	1.0044	340.8938	61.7227
					2	1995	1.0024	336.4328	60.9098
					3	1995	1.0047	351.0045	63.4746
					4	1995	1.0108	323.3461	51.7631
					5	1995	1.0121	316.4346	47.5303
					6	1995	1.0114	308.2307	62.9532
					7	1995	1.0098	310.7591	61.4648
					8	1995	1.0094	312.8331	63.2829
					9	1995	1.0097	317.0327	63.1865
					10	1995	1.0089	330.9924	59.785
					11	1995	1.0103	304.3561	61.4588
					12	1995	1.0076	321.086	50.4486
					1	1996	1.0051	324.6758	56.7826
					2	1996	1.0092	318.4845	60.845
					3	1996	1.0115	317.6324	53.9994
					4	1996	1.0113	322.9919	51.3052
					5	1996	1.0129	347.9834	52.0903
					6	1996	1.0116	324.7209	63.3705
					7	1996	1.01	319.8767	63.741
					8	1996	1.0099	308.8773	63.9765
					9	1996	1.0106	320.5973	59.5036
					10	1996	1.0082	336.9621	61.3484
					11	1996	1.0082	348.1058	63.2258
					12	1996	1.0111	331.9958	53.8773
					1	1997	1.0076	316.9551	59.7638
					2	1997	1.0003	333.6819	62.7352
					3	1997	1.0066	325.9	61.643
					4	1997	1.0088	322.4839	52.2625
					5	1997	1.0122	302.3919	48.597
					6	1997	1.012	324.8732	52.9996
					7	1997	1.0106	306.7913	60.6776
					8	1997	1.01	318.6431	64.7104
					9	1997	1.0089	321.5117	63.3366
					10	1997	1.0104	326.4503	58.0608
					11	1997	1.0071	330.0017	55.698
					12	1997	1.0047	319.6757	57.0374
					1	1998	1.0075	338.0705	59.5495
					2	1998	1.0063	341.4205	63.1423
					3	1998	1.0095	342.8587	66.3268
					4	1998	1.0095	345.3687	52.8768
					5	1998	1.0127	296.8445	55.695
					6	1998	1.0114	311.3639	52.057
					7	1998	1.0098	326.4731	60.7482
					8	1998	1.009	323.033	64.7917
					9	1998	1.0104	317.8957	54.6262
					10	1998	1.0076	340.8984	63.1299
					11	1998	1.009	325.4546	59.9652
					12	1998	1.0022	322.7111	61.53
					1	1999	1.0044	335.2749	62.2295
					2	1999	1.0061	346.0507	64.1716
					3	1999	1.0099	348.2584	59.5193
					4	1999	1.0102	328.4297	53.892
					5	1999	1.0113	328.5911	60.69
					6	1999	1.0096	312.4768	65.4473
					7	1999	1.0096	310.0906	60.8849
					8	1999	1.0109	307.3558	60.7787
					9	1999	1.0085	333.5527	60.2839
					10	1999	1.0088	332.7477	60.6628
					11	1999	1.0069	329.5094	65.0744
					12	1999	1.0042	333.7942	61.8371
					1	2000	1.0061	330.2073	65.0612
					2	2000	1.0019	330.5586	63.5674
					3	2000	1.01	350.9931	64.9643
					4	2000	1.0102	353.5252	51.7583
					5	2000	1.011	322.1176	61.6124
					6	2000	1.0111	311.7801	59.8337
					7	2000	1.0121	337.3164	61.9452
					8	2000	1.0105	315.8802	65.3922
					9	2000	1.0072	314.2515	62.3039
					10	2000	1.0053	332.8853	61.9228
					11	2000	1.008	341.3155	56.9424
					12	2000	1.0049	336.3361	54.6289
					1	2001	1.0063	324.7585	58.8718
					2	2001	1.0103	323.6677	61.292
					3	2001	1.0062	339.1507	51.7367
					4	2001	1.011	340.7963	59.7733
					5	2001	1.0127	326.4721	62.2714
					6	2001	1.0122	316.5462	61.5832
					7	2001	1.0118	323.0982	60.9525
					8	2001	1.0083	314.411	62.5165
					9	2001	1.011	322.2419	62.2039
					10	2001	1.0065	326.6295	60.4399
					11	2001	1.0058	331.6205	66.5667
					12	2001	1.0098	309.7612	55.3937
					1	2002	1.0031	322.2707	59.6949
					2	2002	1.0032	345.3412	61.9702
					3	2002	1.0077	340.1797	62.3255
					4	2002	1.0089	332.581	60.171
					5	2002	1.0108	327.0016	57.4089
					6	2002	1.0105	323.9252	62.2897
					7	2002	1.0099	316.0999	64.0096
					8	2002	1.0113	311.8047	62.336
					9	2002	1.0098	297.9294	61.2426
					10	2002	1.0105	333.3285	55.3998
					11	2002	1.0064	326.0536	56.9363
					12	2002	1.0064	312.136	56.2407
					1	2003	1.0061	321.3095	59.1417
					2	2003	1.0043	321.6504	60.7179
					3	2003	1.0068	320.8983	62.7068
					4	2003	1.0112	324.0116	56.7033
					5	2003	1.0112	330.1594	62.9376
					6	2003	1.01	315.286	58.3908
					7	2003	1.0114	315.1996	60.06
					8	2003	1.0114	306.8967	63.7183
					9	2003	1.0089	320.5491	65.1399
					10	2003	1.0105	318.6946	61.2888
					11	2003	1.0058	324.0761	60.9471
					12	2003	1.0084	328.6349	63.572
					1	2004	1.0039	330.7124	55.9252
