						Azores High	
7	1955				1.0197	323.4085	35.8707
8	1955				1.0182	324.3815	36.8789
9	1955				1.0187	325.2369	37.3748
10	1955				1.0161	328.3848	36.5055
11	1955				1.016	334.8640	35.1228
12	1955				1.0179	334.5681	30.5139
1	1956				1.0165	339.2868	33.461
2	1956				1.0183	326.2130	36.8886
3	1956				1.0186	320.3825	29.7142
4	1956				1.0173	321.1542	30.8467
5	1956				1.0209	326.1064	36.0969
6	1956				1.0208	325.0794	35.4765
7	1956				1.0195	319.6845	32.9142
8	1956				1.0189	320.9973	33.6799
9	1956				1.0176	319.8007	34.3705
10	1956				1.0183	330.7183	38.6851
11	1956				1.0183	334.8788	38.7432
12	1956				1.0205	333.6291	32.8857
1	1957				1.0213	331.9282	32.8309
2	1957				1.0192	326.8892	29.8356
3	1957				1.0162	331.6179	28.0211
4	1957				1.0197	323.7586	34.3191
5	1957				1.0187	324.1147	33.3248
6	1957				1.0184	323.0053	31.9774
7	1957				1.0198	321.8649	34.9531
8	1957				1.0191	321.1537	35.0191
9	1957				1.0172	323.4382	34.8088
10	1957				1.0173	325.8861	37.0457
11	1957				1.0166	322.0892	33.9208
12	1957				1.0194	323.4031	33.5383
1	1958				1.0165	340.6361	32.9748
2	1958				1.0172	342.3750	30.1768
3	1958				1.0161	327.0699	28.201
4	1958				1.0186	326.9405	36.0709
5	1958				1.0191	323.3769	35.9989
6	1958				1.0188	320.8745	30.8854
7	1958				1.0194	319.3868	32.059
8	1958				1.0184	319.4467	32.9101
9	1958				1.0174	321.9082	31.9379
10	1958				1.018	331.8308	36.8147
11	1958				1.0187	329.2816	35.9621
12	1958				1.0182	320.1939	30.1705
1	1959				1.0177	330.0398	29.2946
2	1959				1.0217	334.3428	34.6991
3	1959				1.0191	320.1108	29.1528
4	1959				1.0185	320.5220	30.9379
5	1959				1.0187	320.0657	32.8302
6	1959				1.0195	326.6499	33.6516
7	1959				1.0207	320.1758	35.1173
8	1959				1.0179	322.5004	35.6475
9	1959				1.0177	321.3689	35.6199
10	1959				1.0171	325.1043	33.0922
11	1959				1.0184	319.4700	35.2909
12	1959				1.019	329.0684	31.3375
1	1960				1.0178	330.8705	29.1992
2	1960				1.0162	324.0201	26.8125
3	1960				1.0182	317.9168	27.794
4	1960				1.0187	323.8417	33.0806
5	1960				1.0173	322.8101	31.9349
6	1960				1.0197	324.2956	34.5115
7	1960				1.0204	321.4271	34.2614
8	1960				1.0187	317.7249	32.0781
9	1960				1.0184	321.0406	35.4787
10	1960				1.0164	320.1853	28.3367
11	1960				1.0173	325.2716	31.3835
12	1960				1.0196	325.5676	34.264
1	1961				1.0202	330.6006	30.9916
2	1961				1.0206	334.4662	32.3441
3	1961				1.0189	338.5939	36.4633
4	1961				1.0179	321.8134	27.9173
5	1961				1.0187	315.8105	32.6815
6	1961				1.0211	322.0037	34.2937
7	1961				1.0203	322.4291	35.6441
8	1961				1.0194	321.7806	35.3106
9	1961				1.0178	321.7115	34.6585
10	1961				1.018	323.7353	33.7122
11	1961				1.0162	326.7619	35.3381
12	1961				1.0172	325.0370	27.8589
1	1962				1.0212	326.5841	32.5751
2	1962				1.021	332.1673	37.0962
3	1962				1.0161	324.4599	25.5137
4	1962				1.0191	320.8540	33.0313
5	1962				1.0178	326.1582	34.5817
6	1962				1.0199	324.9004	34.5559
7	1962				1.0194	321.6462	33.839
8	1962				1.0193	321.4670	35.0653
9	1962				1.0176	320.4852	32.6475
10	1962				1.0173	328.8106	35.7168
11	1962				1.0169	324.4837	37.7797
12	1962				1.0168	333.3579	33.4411
1	1963				1.0171	319.3093	33.2336
2	1963				1.0181	318.6384	28.7791
3	1963				1.0193	326.6711	30.0766
4	1963				1.0166	320.4101	27.3843
5	1963				1.0208	323.0641	35.9208
6	1963				1.0186	320.2922	30.3804
7	1963				1.019	321.2814	34.2884
8	1963				1.0192	323.0006	34.8526
9	1963				1.0187	324.5136	36.7619
10	1963				1.0174	334.2713	35.258
11	1963				1.0166	327.6010	30.4024
12	1963				1.0177	323.3030	28.9583
1	1964				1.0196	341.0131	35.3228
2	1964				1.0172	333.5539	29.7292
3	1964				1.018	314.9454	27.013
4	1964				1.0195	319.7978	33.3193
5	1964				1.0184	325.4030	32.143
6	1964				1.0185	321.6850	32.6651
7	1964				1.0204	323.1587	35.9386
8	1964				1.018	320.4112	33.9722
9	1964				1.0182	325.5915	34.6383
10	1964				1.0182	326.7477	35.3666
11	1964				1.0177	336.2434	35.3601
12	1964				1.0175	322.3500	37.7595
1	1965				1.0181	326.5354	29.8628
2	1965				1.0182	333.4870	38.5062
3	1965				1.0185	326.7158	29.283
4	1965				1.0194	329.2324	34.3271
5	1965				1.0183	322.8243	31.5995
6	1965				1.0198	320.7376	32.1401
7	1965				1.0206	320.3026	33.7418
8	1965				1.0187	321.0309	34.379
9	1965				1.0179	318.6801	34.7635
10	1965				1.0173	322.0890	33.2999
11	1965				1.0174	326.0491	33.9135
12	1965				1.0188	332.1406	31.1819
1	1966				1.0168	328.9538	27.6924
2	1966				1.018	317.0443	28.1543
3	1966				1.0188	331.2637	37.1344
4	1966				1.0176	316.6501	29.3093
5	1966				1.0202	321.8373	34.4137
6	1966				1.0198	319.8743	33.313
7	1966				1.021	323.9983	36.094
8	1966				1.0187	317.9401	32.247
9	1966				1.0175	325.1572	33.3863
10	1966				1.0161	317.3834	30.4912
11	1966				1.0193	327.0036	41.3289
12	1966				1.0183	334.4849	35.6659
1	1967				1.0193	333.2586	31.7141
2	1967				1.0193	327.1230	31.2405
3	1967				1.0196	330.1665	35.3828
4	1967				1.0183	328.6748	36.736
5	1967				1.0196	319.8054	32.5979
6	1967				1.0208	324.7874	36.1002
7	1967				1.0207	320.9541	34.5131
8	1967				1.0198	318.7774	34.6106
9	1967				1.0176	323.8835	34.5489
10	1967				1.0183	325.6352	34.496
11	1967				1.0179	328.6064	36.778
12	1967				1.0192	337.5737	35.1129
1	1968				1.0202	334.0639	34.18
2	1968				1.0163	329.2868	26.3655
3	1968				1.019	327.8829	34.907
4	1968				1.0168	322.0343	31.5727
5	1968				1.0187	324.1216	31.8996
6	1968				1.0192	322.8038	32.3321
7	1968				1.0203	323.3127	35.0061
8	1968				1.0184	322.5292	32.8907
9	1968				1.0176	325.4131	33.7019
10	1968				1.0173	331.8594	32.4922
11	1968				1.0167	317.4094	28.6211
12	1968				1.0174	327.7952	29.4714
1	1969				1.016	326.3845	30.7713
2	1969				1.0158	321.6615	48.7742
3	1969				1.0158	318.6199	24.7811
4	1969				1.0195	324.9983	33.9303
5	1969				1.0189	320.1707	31.5821
6	1969				1.0186	322.3626	33.0044
7	1969				1.0201	326.9846	35.8067
8	1969				1.0184	323.5644	35.001
9	1969				1.0185	326.0678	36.8572
10	1969				1.0169	333.7975	37.288
11	1969				1.0172	324.0876	40.0357
12	1969				1.0189	334.7037	36.1239
1	1970				1.0173	324.9510	25.4394
2	1970				1.0204	328.4668	35.5708
3	1970				1.0175	327.8910	36.533
4	1970				1.0189	332.2195	33.4437
5	1970				1.0191	321.1954	35.7293
6	1970				1.0206	321.8230	33.7214
7	1970				1.0201	321.4539	34.5155
8	1970				1.0188	321.4477	34.4259
9	1970				1.0181	324.6458	34.3791
10	1970				1.0177	330.1455	40.0999
11	1970				1.0175	331.0532	35.5749
12	1970				1.0186	336.6791	35.5616
1	1971				1.0183	330.3448	28.132
2	1971				1.019	329.2341	34.6943
3	1971				1.0187	324.8325	33.0089
4	1971				1.0178	320.1198	32.1501
5	1971				1.0194	321.6536	32.2864
6	1971				1.0197	322.8452	32.6978
7	1971				1.0201	322.0136	35.1093
8	1971				1.0196	321.1414	34.8626
9	1971				1.0178	329.9654	37.3347
10	1971				1.0186	333.9025	36.2144
11	1971				1.0183	334.2318	38.2132
12	1971				1.0197	335.7396	35.4584
1	1972				1.0193	321.0955	30.1996
2	1972				1.019	322.5977	29.6376
3	1972				1.0174	323.2882	31.5763
4	1972				1.0191	324.4772	32.7809
5	1972				1.0201	322.2764	34.545
6	1972				1.0209	323.1861	35.4185
7	1972				1.0198	322.5025	34.515
8	1972				1.0196	324.2202	35.7165
9	1972				1.0176	324.9641	36.2652
10	1972				1.0171	323.8584	37.6344
11	1972				1.0182	336.6241	33.9894
12	1972				1.0203	330.1974	32.3541
1	1973				1.0206	336.1572	31.7498
2	1973				1.0209	329.2441	35.7498
3	1973				1.0188	331.9989	35.9279
4	1973				1.0174	329.0805	36.8662
5	1973				1.0185	321.3697	33.0785
6	1973				1.0203	324.9425	35.2074
7	1973				1.0207	321.3683	35.3307
8	1973				1.0192	324.1441	34.4317
9	1973				1.0181	324.6463	33.2446
10	1973				1.0175	330.9676	36.0477
11	1973				1.0184	338.6811	35.9947
12	1973				1.0189	326.8508	35.0429
1	1974				1.0216	329.6982	30.8699
2	1974				1.019	326.8852	30.3501
3	1974				1.0187	320.1599	29.1991
4	1974				1.0195	320.2553	31.8714
5	1974				1.0179	322.1272	30.0624
6	1974				1.0181	319.8472	32.4105
7	1974				1.0203	324.4818	35.3621
8	1974				1.0192	320.5690	34.3727
9	1974				1.0189	322.1619	34.3866
10	1974				1.0195	327.6907	37.677
11	1974				1.0177	336.6554	32.3209
12	1974				1.0207	340.4144	34.1858
1	1975				1.0206	332.9519	31.6093
2	1975				1.0191	329.6834	31.1571
3	1975				1.0184	321.9713	28.7207
4	1975				1.0187	328.8298	34.8703
5	1975				1.0186	325.9592	33.7756
6	1975				1.0192	325.6145	34.3374
7	1975				1.0195	320.0783	34.7243
8	1975				1.0184	324.3562	34.675
9	1975				1.019	323.5177	35.5021
10	1975				1.0184	329.3231	34.0516
11	1975				1.0186	330.3854	34.8036
12	1975				1.0189	333.6391	41.1334
1	1976				1.0204	331.1081	34.5735
2	1976				1.0198	325.1389	31.5473
3	1976				1.0196	323.5707	32.5668
4	1976				1.0189	327.9210	35.1944
5	1976				1.0197	321.4357	32.5485
6	1976				1.0202	323.5248	33.4392
7	1976				1.0194	322.9225	33.2555
8	1976				1.0189	323.2651	36.5238
9	1976				1.0176	321.6139	33.898
10	1976				1.0175	323.0078	32.4198
11	1976				1.0186	335.6393	33.1419
12	1976				1.0178	323.3490	28.9921
1	1977				1.0174	332.0240	28.3458
2	1977				1.0196	330.3783	28.42
3	1977				1.0191	333.2656	31.2558
4	1977				1.0189	324.6837	35.2169
5	1977				1.0189	326.1438	33.2502
6	1977				1.0196	324.3579	34.3797
7	1977				1.0205	323.0035	34.777
8	1977				1.0196	319.6875	33.8073
9	1977				1.0183	331.0428	35.2694
10	1977				1.0179	326.4972	32.3084
11	1977				1.0181	327.1508	33.9588
12	1977				1.0181	332.9509	30.1662
1	1978				1.021	328.9373	32.9488
2	1978				1.0159	325.6762	24.7043
3	1978				1.0201	330.3991	31.7954
4	1978				1.0177	323.4754	29.4092
5	1978				1.0191	323.4541	33.6877
6	1978				1.0209	322.6147	34.8318
7	1978				1.0196	323.6368	34.7195
8	1978				1.0191	323.9858	34.6026
9	1978				1.0183	332.3248	35.9782
10	1978				1.0177	334.2306	38.0946
11	1978				1.0204	336.8176	35.6784
12	1978				1.0182	326.8078	27.1789
1	1979				1.0158	320.3932	29.4875
2	1979				1.0178	326.8507	27.3379
3	1979				1.0189	323.2457	35.0079
4	1979				1.0179	324.8694	34.3592
5	1979				1.0188	323.8864	33.9715
6	1979				1.02	324.7732	35.4156
7	1979				1.0212	324.9821	35.2377
8	1979				1.0191	321.9881	34.4849
9	1979				1.0186	329.7948	36.2587
10	1979				1.0175	320.1263	31.7132
11	1979				1.0181	330.7368	35.1337
12	1979				1.0195	335.4871	31.7541
1	1980				1.0171	332.4842	30.3392
2	1980				1.0191	336.1315	32.4486
3	1980				1.0176	321.7036	29.9049
4	1980				1.018	328.3517	38.2284
5	1980				1.0179	325.1884	29.9293
6	1980				1.0207	323.2379	33.4755
7	1980				1.02	321.4054	33.5847
8	1980				1.0181	324.3588	32.2782
9	1980				1.0192	327.4999	35.2064
10	1980				1.0174	327.1894	31.4682
11	1980				1.017	334.7362	31.0869
12	1980				1.0206	336.6173	35.0027
1	1981				1.0223	340.3239	35.7933
2	1981				1.0198	327.2998	36.3003
3	1981				1.0165	333.2331	27.7895
4	1981				1.0193	323.5962	35.0548
5	1981				1.0188	322.1632	32.8898
6	1981				1.0187	327.2350	33.8266
7	1981				1.0205	325.7833	35.2618
8	1981				1.0191	326.8635	36.1255
9	1981				1.0176	329.5110	31.9885
10	1981				1.0181	327.2324	35.4069
11	1981				1.0188	345.1487	36.7033
12	1981				1.0181	329.4780	28.5065
1	1982				1.0188	333.5526	30.609
2	1982				1.0196	325.6839	31.3507
3	1982				1.0198	326.8259	34.1678
4	1982				1.0184	323.6237	35.4497
5	1982				1.0188	327.8257	35.1358
6	1982				1.0188	322.4702	31.0303
7	1982				1.0204	323.5171	34.7194
8	1982				1.02	323.1202	34.6264
9	1982				1.0187	322.8389	33.9968
10	1982				1.0173	327.1590	32.1319
11	1982				1.0195	326.6589	34.1402
12	1982				1.0217	331.0074	33.3744
1	1983				1.023	339.3204	34.5476
2	1983				1.018	339.2667	34.8813
3	1983				1.0188	337.0321	35.4021
4	1983				1.0179	320.9866	36.9989
5	1983				1.0193	318.9745	33.6277
6	1983				1.0193	327.9006	35.6521
7	1983				1.0203	323.6250	34.8478
8	1983				1.0203	324.2831	34.8891
9	1983				1.0183	323.6062	32.2273
10	1983				1.0194	330.6603	36.277
11	1983				1.0166	333.2660	29.5472
12	1983				1.0197	328.9222	31.1089
1	1984				1.0226	329.9547	33.5558
2	1984				1.0202	332.5147	35.0293
3	1984				1.0171	321.5043	33.4718
4	1984				1.0169	323.6383	33.4274
5	1984				1.0203	320.6652	34.4685
6	1984				1.0203	325.9459	34.8454
7	1984				1.0201	322.9166	35.0957
8	1984				1.0192	325.6307	34.9087
9	1984				1.0181	324.2364	34.7666
10	1984				1.0186	326.7874	34.0538
11	1984				1.0172	324.5307	29.8977
12	1984				1.0199	331.9620	34.3648
1	1985				1.0174	327.1937	26.9362
2	1985				1.019	326.5141	30.3381
3	1985				1.0189	325.7943	31.4672
4	1985				1.0183	320.5255	30.6007
5	1985				1.0186	321.3357	31.3549
6	1985				1.0188	323.2682	33.27
7	1985				1.0203	321.8914	34.2741
8	1985				1.0192	321.7670	34.0051
9	1985				1.0179	328.4531	35.6502
10	1985				1.0186	330.7569	35.9497
11	1985				1.0168	318.6865	33.0118
12	1985				1.02	331.7470	30.1688
1	1986				1.0231	330.0135	32.3699
2	1986				1.0176	323.3952	28.1413
3	1986				1.0208	325.6001	32.3427
4	1986				1.0185	323.0529	34.9238
5	1986				1.0179	328.6003	33.2416
6	1986				1.0201	322.5167	33.3543
7	1986				1.0204	324.5088	33.922
8	1986				1.0183	320.9270	34.0801
9	1986				1.018	328.2673	36.6668
10	1986				1.0187	330.9163	34.1664
11	1986				1.0207	330.2237	33.9532
12	1986				1.0216	335.5945	32.5013
1	1987				1.018	337.9018	30.9669
2	1987				1.0179	334.4047	28.8812
3	1987				1.0169	334.0287	35.8715
4	1987				1.0177	325.8748	35.0123
5	1987				1.019	325.1450	37.481
6	1987				1.0195	324.9818	32.4883
7	1987				1.0193	324.2933	34.4653
8	1987				1.0175	323.8217	33.1526
9	1987				1.0173	326.5604	33.3442
10	1987				1.0184	321.7706	34.5821
11	1987				1.0177	328.8095	35.647
12	1987				1.0184	336.8241	29.7597
1	1988				1.021	326.6015	30.9692
2	1988				1.0192	326.3816	34.9256
3	1988				1.0192	329.8858	32.879
4	1988				1.017	326.7161	29.825
5	1988				1.0187	318.2208	32.072
6	1988				1.0203	324.0680	34.9327
7	1988				1.0203	319.7973	33.9261
8	1988				1.0184	319.6954	33.4166
9	1988				1.0183	329.0494	35.6552
10	1988				1.0174	322.1595	34.3525
11	1988				1.0175	331.1760	33.4081
12	1988				1.0207	338.2205	34.9042
1	1989				1.0234	336.9488	34.1025
2	1989				1.0224	328.8935	32.9968
3	1989				1.0198	321.4817	33.353
4	1989				1.0196	320.3364	30.8953
5	1989				1.019	323.4711	36.1179
6	1989				1.0189	323.7352	34.2432
7	1989				1.0207	324.4499	35.7388
8	1989				1.0184	321.6854	34.5465
9	1989				1.0183	324.4089	37.1169
10	1989				1.0178	330.2468	35.3872
11	1989				1.0169	323.7815	31.7372
12	1989				1.0172	329.3418	26.8815
1	1990				1.0226	332.1723	32.0533
2	1990				1.0206	330.7170	31.3666
3	1990				1.0213	331.0079	36.5913
4	1990				1.0195	325.0741	36.8402
5	1990				1.018	327.4542	32.8572
6	1990				1.0203	321.6481	33.0527
7	1990				1.0198	323.4969	34.193
8	1990				1.0196	325.5639	36.382
9	1990				1.0181	327.9503	37.6079
10	1990				1.0171	323.2599	32.5592
11	1990				1.0173	328.2927	31.323
12	1990				1.0193	328.1988	34.9513
1	1991				1.0213	332.4559	32.5755
2	1991				1.0197	328.8167	31.3905
3	1991				1.0184	320.7355	28.0096
4	1991				1.0188	323.1859	34.5218
5	1991				1.0202	329.8271	37.4122
6	1991				1.0201	324.4583	31.9067
7	1991				1.0194	321.9312	32.3727
8	1991				1.019	323.4172	34.3501
9	1991				1.0185	322.9127	33.9845
10	1991				1.0174	323.7543	37.5973
11	1991				1.0187	327.9579	33.19
12	1991				1.0201	339.6406	35.9187
1	1992				1.0203	343.6250	35.2683
2	1992				1.0213	336.9329	33.8012
3	1992				1.0205	331.4440	34.4874
4	1992				1.0185	326.7947	32.4514
5	1992				1.0185	322.4762	35.7429
6	1992				1.0196	325.4297	33.7323
7	1992				1.0199	324.0788	32.6977
8	1992				1.02	319.4289	33.2785
9	1992				1.019	324.2875	35.3306
10	1992				1.0174	326.7142	35.3297
11	1992				1.0195	333.3610	33.5453
12	1992				1.0185	330.9815	32.8907
1	1993				1.0224	335.0176	32.6541
2	1993				1.021	335.9844	37.9362
3	1993				1.0189	326.4517	34.1059
4	1993				1.0183	322.6929	33.7586
5	1993				1.0175	318.1992	31.7926
6	1993				1.0194	325.5369	32.659
7	1993				1.0199	327.3382	34.7196
8	1993				1.0195	325.0235	35.5885
9	1993				1.019	319.6609	32.7228
10	1993				1.017	317.2036	33.4936
11	1993				1.0191	324.2354	34.1854
12	1993				1.0209	335.3207	33.0621
1	1994				1.022	328.0180	32.7977
2	1994				1.0198	324.3739	29.4578
3	1994				1.0207	332.1864	33.9302
4	1994				1.0194	321.2045	33.9197
5	1994				1.0195	319.6755	30.6704
6	1994				1.0203	325.3642	34.2746
7	1994				1.0204	319.7110	33.6537
8	1994				1.019	318.9275	33.5451
9	1994				1.0178	324.8734	33.3291
10	1994				1.0162	328.9117	32.083
11	1994				1.0184	333.1102	32.1724
12	1994				1.0206	337.1102	32.8627
1	1995				1.0216	336.8068	32.0245
2	1995				1.0211	333.3675	30.932
3	1995				1.0179	329.2556	35.6435
4	1995				1.0174	332.5357	36.0503
5	1995				1.0173	328.0559	31.6671
6	1995				1.019	324.8642	35.9077
7	1995				1.0185	319.8524	33.0352
8	1995				1.0177	329.2500	36.5791
9	1995				1.0184	325.1017	36.2253
10	1995				1.0172	332.2243	35.58
11	1995				1.017	327.0345	32.7704
12	1995				1.0169	334.7226	27.7304
1	1996				1.0174	313.1316	30.2995
2	1996				1.0194	328.2701	34.3217
3	1996				1.0175	315.2010	28.9902
4	1996				1.0174	321.2862	30.4262
5	1996				1.018	317.2853	31.8836
6	1996				1.0203	325.9018	34.5345
7	1996				1.0211	324.0637	35.4094
8	1996				1.0192	320.5464	34.7673
9	1996				1.0173	326.3127	33.7432
10	1996				1.0175	334.4302	33.6884
11	1996				1.0191	330.2870	34.7768
12	1996				1.0171	317.1096	32.1656
1	1997				1.0178	330.4775	31.3244
2	1997				1.0233	331.5490	32.7117
3	1997				1.02	334.0345	34.4093
4	1997				1.0173	334.9738	34.9698
5	1997				1.0185	319.7443	30.7943
6	1997				1.0179	321.5224	30.9338
7	1997				1.0206	325.1373	34.1093
8	1997				1.019	320.9368	33.0405
9	1997				1.0176	332.7758	36.3877
10	1997				1.0155	336.7059	34.7609
11	1997				1.0171	324.8770	28.8317
12	1997				1.0183	335.8036	28.1417
1	1998				1.0188	330.3608	31.8518
2	1998				1.019	347.2808	35.9656
3	1998				1.0193	332.3465	35.5119
4	1998				1.0191	324.7180	31.6462
5	1998				1.0185	327.4554	35.0255
6	1998				1.0193	326.6743	32.3691
7	1998				1.02	322.2587	34.4994
8	1998				1.0192	324.2740	36.1489
9	1998				1.0171	324.6997	31.2419
10	1998				1.0182	333.5291	33.9012
11	1998				1.0182	334.2623	34.7755
12	1998				1.0208	332.3914	32.4904
1	1999				1.0204	326.6056	33.0648
2	1999				1.0204	336.0309	35.4293
3	1999				1.0175	323.0041	32.6593
4	1999				1.0183	328.8568	31.705
5	1999				1.0179	320.8153	33.4969
6	1999				1.0202	324.5301	35.3295
7	1999				1.0191	321.7275	32.9251
8	1999				1.018	318.7992	32.5927
9	1999				1.0172	320.6962	34.1619
10	1999				1.018	324.5342	33.4418
11	1999				1.0189	336.9230	38.9734
12	1999				1.0196	337.5514	32.6007
1	2000				1.0212	336.0052	36.0503
2	2000				1.0228	334.3484	33.6235
3	2000				1.0182	337.6200	37.3886
4	2000				1.0189	315.6793	31.3091
5	2000				1.0181	324.3469	33.0982
6	2000				1.0201	324.7404	33.7482
7	2000				1.0192	320.9931	35.2426
8	2000				1.0193	324.6136	35.2165
9	2000				1.0177	323.8021	33.3248
10	2000				1.0185	328.4928	34.1584
11	2000				1.0174	334.1440	30.2364
12	2000				1.0189	326.9863	28.5454
1	2001				1.0199	331.5928	28.8996
2	2001				1.0194	330.8086	32.6141
3	2001				1.0171	322.1381	26.5201
4	2001				1.0192	325.6311	33.0986
5	2001				1.0174	326.5771	33.8954
6	2001				1.019	324.4907	33.0584
7	2001				1.0202	322.0113	34.1323
8	2001				1.0193	321.1989	33.3806
9	2001				1.0166	325.2858	35.5245
10	2001				1.0182	326.8990	33.053
11	2001				1.0193	335.9669	40.3074
12	2001				1.0178	342.0441	36.6567
1	2002				1.0216	337.0080	31.8253
2	2002				1.02	334.2758	32.5263
3	2002				1.0192	319.0485	33.7348
4	2002				1.019	319.0030	33.3181
5	2002				1.0198	320.6721	32.0936
6	2002				1.02	324.1334	33.014
7	2002				1.0206	322.8137	34.1414
8	2002				1.0191	323.3195	35.1249
9	2002				1.017	324.9058	34.711
10	2002				1.0166	327.1939	32.6642
11	2002				1.0186	327.1792	29.82
12	2002				1.0184	332.9069	28.3058
1	2003				1.0209	334.4212	31.5581
2	2003				1.0197	328.9097	31.3782
3	2003				1.0179	334.4343	34.5575
4	2003				1.0178	317.3439	31.8134
5	2003				1.019	325.5601	33.9493
6	2003				1.0188	320.5295	30.8883
7	2003				1.0202	320.6132	33.2732
8	2003				1.0185	321.8818	34.8889
9	2003				1.0181	327.1547	37.9496
10	2003				1.0176	323.8431	37.9656
11	2003				1.0173	328.4319	32.7065
12	2003				1.018	336.7638	33.3738
1	2004				1.0187	335.1635	30.0673
2	2004				1.0186	333.0861	33.2515
3	2004				1.02	327.2157	34.5294
4	2004				1.0187	321.9041	33.8407
5	2004				1.0192	322.1143	33.886
6	2004				1.0195	325.4339	32.2492
7	2004				1.0196	322.3867	35.1687
8	2004				1.0188	318.1661	32.5719
9	2004				1.0186	329.9501	36.8881
10	2004				1.0157	326.7978	34.7504
11	2004				1.018	337.7977	39.0671
12	2004				1.0199	330.6730	35.8624
1	2005				1.0212	336.0832	35.3205
2	2005				1.0189	336.0326	39.1684
3	2005				1.0164	335.7277	31.3478
4	2005				1.0171	325.6183	33.3515
5	2005				1.0177	327.2519	36.9943
6	2005				1.018	326.7685	34.2586
7	2005				1.0196	323.8775	34.9324
8	2005				1.0189	326.5284	36.5535
9	2005				1.0184	329.9072	35.5651
10	2005				1.0168	330.0840	32.4172
11	2005				1.0181	328.2288	37.625
12	2005				1.0178	335.4110	35.0253
1	2006				1.0202	332.2703	33.5692
2	2006				1.0181	326.6788	30.8377
3	2006				1.0175	326.5074	27.8578
4	2006				1.0178	325.2240	35.9163
5	2006				1.0177	326.0979	32.7002
6	2006				1.0202	323.8478	35.3782
7	2006				1.0204	322.1910	34.048
8	2006				1.018	324.8049	35.1516
9	2006				1.017	323.3911	32.5597
10	2006				1.016	326.3909	30.0038
11	2006				1.0182	329.9829	35.5322
12	2006				1.0219	333.6141	32.9919
1	2007				1.0216	336.8354	33.31
